label,run_id,requests,successful_requests,error_rate,ttft_ms_p50,ttft_ms_p90,e2e_ms_p50,e2e_ms_p90,request_per_s,output_tok_per_s,token_hit_rate,session_migration_rate,estimated_uncached_tokens,backend_request_counts
roundrobin,20260719T1020Z__D05__roundrobin__swe-final__poisson-c16__2xh20__r1,300,300,0.0,2422.151878476143,11447.934715449815,5259.067984297872,21766.38140529394,1.4955669139775345,106.18525089240495,0.5892903677314872,0.468,2335718,"{""http://127.0.0.1:8000"": 150, ""http://127.0.0.1:8001"": 150}"
prefixaware-512,20260719T1036Z__D06__prefixaware-512__swe-final__poisson-c16__2xh20__r1,300,300,0.0,180.37893623113632,3057.065300643446,666.6467301547527,6960.15812084079,1.7994331055356836,127.75975049303354,0.8330309493707612,0.0,949558,"{""http://127.0.0.1:8000"": 150, ""http://127.0.0.1:8001"": 150}"
agent_slo_aware,20260719T1041Z__D07__agent-slo-aware__swe-final__poisson-c16__2xh20__r1,300,300,0.0,97.79431857168674,1526.459127292037,655.9332180768251,2182.4646577239037,1.8609796670717074,132.12955636209122,0.8258454764613515,0.024,990422,"{""http://127.0.0.1:8000"": 160, ""http://127.0.0.1:8001"": 140}"
